City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Isangel,VU,89.71,broken clouds,-19.55,169.2667,Tanna Lodge
1,Ambilobe,MG,83.32,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
2,Acapulco,MX,76.17,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
3,Kandi,BJ,73.17,few clouds,11.1342,2.9386,Baric Motel De Kandi
4,Cape Town,ZA,70.12,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
5,Kapaa,US,73.72,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
6,Hithadhoo,MV,82.74,overcast clouds,-0.6,73.0833,Scoop Guest House
7,Christchurch,NZ,74.48,scattered clouds,-43.5333,172.6333,The George
8,Sinnamary,GF,76.66,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
9,Port Elizabeth,ZA,68.29,few clouds,-33.918,25.5701,39 On Nile Guest House
10,Esperance,AU,84.04,clear sky,-33.8667,121.9,Hospitality Esperance
11,Port Alfred,ZA,71.31,scattered clouds,-33.5906,26.891,The Halyards Hotel
12,Puerto Ayora,EC,74.91,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
13,Oussouye,SN,71.69,broken clouds,12.485,-16.5469,Auberge du Routard
14,Rikitea,PF,78.37,light rain,-23.1203,-134.9692,People ThankYou
15,Hirara,JP,67.86,mist,24.8,125.2833,Hotel Atoll Emerald Miyakojima
16,Mataura,NZ,71.47,light rain,-46.1927,168.8643,Ellie's Villa
17,Kruisfontein,ZA,65.55,clear sky,-34.0033,24.7314,Oyster Bay House Rental
18,Qui Nhon,VN,80.69,broken clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
19,Tuatapere,NZ,71.82,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
20,Bengkulu,ID,84.36,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
21,Bluff,NZ,71.8,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
22,Vaini,TO,84.36,few clouds,-21.2,-175.2,Keleti Beach Resort
23,Ogembo,KE,69.33,broken clouds,-0.7984,34.7253,Sameta Lodge and Hotel
24,Saint-Philippe,RE,85.55,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
25,Faanui,PF,80.73,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
26,Mahebourg,MU,83.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
27,Daru,PG,79.9,overcast clouds,-9.0763,143.2092,Daru Lodge
28,Avarua,CK,73.45,overcast clouds,-21.2078,-159.775,Paradise Inn
29,Hobart,AU,66.11,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
30,Bredasdorp,ZA,67.28,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
31,Kavieng,PG,83.32,light rain,-2.5744,150.7967,Nusa Island Retreat
32,Pisco,PE,69.85,moderate rain,-13.7,-76.2167,Hotel San Isidro Oficial
33,Hervey Bay,AU,86.11,clear sky,-25.2986,152.8535,Shelly Bay Resort
34,Port Blair,IN,77.04,moderate rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
35,Shahpura,IN,74.53,clear sky,27.3833,75.9667,Shahpura Haveli
36,Biak,ID,82.44,heavy intensity rain,-0.9131,122.8766,Penginapan Kim
37,Quelimane,MZ,76.95,broken clouds,-17.8786,36.8883,Hotel Flamingo
38,East London,ZA,67.14,scattered clouds,-33.0153,27.9116,Tu Casa
39,Bambous Virieux,MU,83.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
40,Atuona,PF,78.66,clear sky,-9.8,-139.0333,Villa Enata
41,Namatanai,PG,84.09,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
42,Mayo,US,67.19,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
43,Chitrakonda,IN,88.72,clear sky,18.1167,82.0833,Sri venkateswara swamy temple
44,Quatre Cocos,MU,84.09,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
45,Nsanje,MW,75.47,light rain,-16.92,35.262,Nsanje Discovery Lodge
46,Gigmoto,PH,82.78,broken clouds,13.7796,124.39,Cj's Travellers Inn
47,Santa Isabel Do Rio Negro,BR,72.63,light rain,-0.4139,-65.0192,Hotel GSA
48,Butaritari,KI,81.82,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
49,Kalmunai,LK,82.49,broken clouds,7.4167,81.8167,VS Villa
50,Hermanus,ZA,69.91,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
51,Chuy,UY,69.13,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
52,Manoel Urbano,BR,70.93,overcast clouds,-8.8389,-69.2597,Baixada Beira Rio
53,Bandarban,BD,73.11,clear sky,22.1965,92.2262,"Hilltop, Hafazgona, Bandarban"
54,Itaituba,BR,71.35,overcast clouds,-4.2761,-55.9836,Hotel Campos
55,Rayadrug,IN,85.33,scattered clouds,14.7,76.8667,Suresh Naik plot
56,Kahului,US,75.85,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
57,Hilo,US,71.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
58,Rawson,AR,69.37,clear sky,-43.3002,-65.1023,Hosteria Sampedro
59,Nagua,DO,71.46,clear sky,19.3832,-69.8474,Hotel Cambri
60,Majene,ID,83.75,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
61,Palmas Bellas,PA,76.91,overcast clouds,9.2319,-80.0867,Estación de Chagres
62,Tecoanapa,MX,76.03,clear sky,16.5167,-98.75,Hotel Manglares
63,Karimpur,IN,79.23,clear sky,23.9667,88.6167,gabrudanga jumma masjid
64,Cockburn Town,TC,77.05,clear sky,21.4612,-71.1419,Osprey Beach Hotel
65,Celestun,MX,76.08,clear sky,20.8667,-90.4,Posada Lilia
66,Alice Springs,AU,87.35,clear sky,-23.7,133.8833,Desert Palms Alice Springs
67,Tevaitoa,PF,80.4,few clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
