City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Isangel,VU,-19.55,169.2667,89.71,70,75,5.75,broken clouds
1,Iqaluit,CA,63.7506,-68.5145,-27.31,74,0,8.99,clear sky
2,Ambilobe,MG,-13.2,49.05,83.32,76,28,1.19,scattered clouds
3,Acapulco,MX,16.8634,-99.8901,76.17,82,9,4.18,clear sky
4,Krasnoznamensk,RU,55.5994,37.0386,35.69,93,100,11.18,light intensity drizzle
5,Jumla,NP,29.2747,82.1838,50.58,29,0,4.38,clear sky
6,Ushuaia,AR,-54.8,-68.3,49.66,71,20,19.57,few clouds
7,Kandi,BJ,11.1342,2.9386,73.17,17,12,4.72,few clouds
8,Cape Town,ZA,-33.9258,18.4232,70.12,70,0,16.11,clear sky
9,Kapaa,US,22.0752,-159.319,73.72,75,75,14.97,broken clouds
10,Novoagansk,RU,61.9449,76.6625,24.57,95,99,8.28,overcast clouds
11,Hithadhoo,MV,-0.6,73.0833,82.74,66,95,14.03,overcast clouds
12,Nioro,GM,13.35,-15.75,71.83,19,48,6.26,scattered clouds
13,Kichera,RU,55.9375,110.0997,1.53,87,86,2.91,overcast clouds
14,Christchurch,NZ,-43.5333,172.6333,74.48,56,25,11.5,scattered clouds
15,Opuwo,NA,-18.0607,13.84,71.87,74,94,4.21,light rain
16,Sinnamary,GF,5.3833,-52.95,76.66,84,96,11.05,overcast clouds
17,Hasaki,JP,35.7333,140.8333,54.28,39,23,11.63,few clouds
18,Margate,GB,51.3813,1.3862,52.97,92,100,14.0,overcast clouds
19,Port Elizabeth,ZA,-33.918,25.5701,68.29,77,20,4.61,few clouds
20,Esperance,AU,-33.8667,121.9,84.04,48,0,17.56,clear sky
21,Kosjeric,RS,43.9961,19.9069,38.55,95,99,3.83,overcast clouds
22,Port Alfred,ZA,-33.5906,26.891,71.31,66,31,12.5,scattered clouds
23,Torbay,CA,47.6666,-52.7314,47.57,88,100,29.93,light intensity shower rain
24,Puerto Ayora,EC,-0.7393,-90.3518,74.91,89,99,6.64,overcast clouds
25,Oussouye,SN,12.485,-16.5469,71.69,65,74,4.85,broken clouds
26,Rikitea,PF,-23.1203,-134.9692,78.37,71,5,6.64,light rain
27,Hirara,JP,24.8,125.2833,67.86,94,75,20.71,mist
28,Novobirilyussy,RU,56.9514,90.6661,18.91,93,100,10.25,light snow
29,Flin Flon,CA,54.7682,-101.865,-7.49,96,100,2.84,overcast clouds
30,Mar Del Plata,AR,-38.0023,-57.5575,63.88,78,40,11.99,scattered clouds
31,Mataura,NZ,-46.1927,168.8643,71.47,42,100,7.9,light rain
32,Busselton,AU,-33.65,115.3333,100.04,31,7,10.25,clear sky
33,Aykhal,RU,66.0,111.5,-10.59,94,8,6.91,clear sky
34,Kruisfontein,ZA,-34.0033,24.7314,65.55,67,0,7.27,clear sky
35,Qui Nhon,VN,13.7667,109.2333,80.69,76,76,7.18,broken clouds
36,Nikolskoye,RU,59.7035,30.7861,33.87,89,100,14.76,overcast clouds
37,Gravdal,NO,68.1214,13.5031,29.88,79,0,3.44,clear sky
38,Tuatapere,NZ,-46.1333,167.6833,71.82,52,100,11.21,overcast clouds
39,Bengkulu,ID,-3.8004,102.2655,84.36,65,96,5.59,overcast clouds
